Seq,SOMAS_ID_round1,SOMAS_ID_round2,ColCheck_r1,ColCheck_r2,Organism,CV_r1,CV_r2
10471-25,LRRN3.10471.25.3,LRRN3.10471.25.3,PASS,PASS,Human,7.00596431076821,18.7516404577748
10476-23,MCFD2.10476.23.3,MCFD2.10476.23.3,PASS,PASS,Human,3.50418790326021,4.36973056228909
10490-3,RPN1.10490.3.3,RPN1.10490.3.3,PASS,PASS,Human,2.46333216182118,4.17130019816896
10491-21,M6PR.10491.21.3,M6PR.10491.21.3,PASS,PASS,Human,11.1445900815525,11.9998216584391
10494-48,CALCA.10494.48.3,CALCA.10494.48.3,PASS,PASS,Human,3.72168607783282,8.91316408941289
10497-242,COX8A.10497.242.3,COX8A.10497.242.3,PASS,PASS,Human,5.82277827546335,6.90759123554106
10502-15,PRH1.10502.15.3,PRH1.10502.15.3,PASS,PASS,Human,4.98202118563879,13.8741211724126
10504-6,FAM159B.10504.6.3,FAM159B.10504.6.3,PASS,PASS,Human,5.03717612002332,17.1074314312637
10506-53,PGRMC2.10506.53.3,PGRMC2.10506.53.3,PASS,PASS,Human,3.10371166039795,4.26400825146894
10512-13,CSF2RB.10512.13.3,CSF2RB.10512.13.3,PASS,PASS,Human,3.26063080596431,10.8794525288881
10513-13,KCNIP3.10513.13.3,KCNIP3.10513.13.3,PASS,PASS,Human,6.06830535700312,6.20238205112446
10514-5,PTGDS.10514.5.3,PTGDS.10514.5.3,PASS,PASS,Human,6.41963595217494,3.13695486926019
10516-53,ITM2A.10516.53.3,ITM2A.10516.53.3,PASS,PASS,Human,4.09008410788608,8.36656692160635
10518-14,IGSF9.10518.14.3,IGSF9.10518.14.3,PASS,PASS,Human,4.7981525425404,6.46000582805975
10521-10,MXRA8.10521.10.3,MXRA8.10521.10.3,PASS,PASS,Human,2.62393625122415,11.7946834536542
10522-167,PCDHB4.10522.167.3,PCDHB4.10522.167.3,PASS,PASS,Human,13.2990088557567,15.2021402432485
10527-22,DHX9.10527.22.3,DHX9.10527.22.3,PASS,PASS,Human,5.72751991954686,5.26477110415364
10529-19,ZNF358.10529.19.3,ZNF358.10529.19.3,PASS,PASS,Human,4.51524901844893,1.93925425502795
10533-1,PCDHA4.10533.1.3,PCDHA4.10533.1.3,PASS,PASS,Human,8.02404514075009,11.6907868707622
10534-40,PARP1.10534.40.3,PARP1.10534.40.3,PASS,PASS,Human,5.41286685347253,9.83212913619411
10551-7,LAT.10551.7.3,LAT.10551.7.3,PASS,PASS,Human,4.09648200974403,8.47580832311835
10553-8,TOR1AIP2.10553.8.3,TOR1AIP2.10553.8.3,PASS,PASS,Human,6.15830984167391,7.39539598237753
10557-6,TEX29.10557.6.3,TEX29.10557.6.3,PASS,PASS,Human,6.98355766415486,10.0824037391521
10558-26,PCDH9.10558.26.3,PCDH9.10558.26.3,PASS,PASS,Human,8.11337552331098,15.7055216599003
10560-1,ITM2C.10560.1.3,ITM2C.10560.1.3,PASS,PASS,Human,9.63231097483279,3.93627847746261
10562-42,NETO2.10562.42.3,NETO2.10562.42.3,PASS,PASS,Human,14.0767442051576,5.26947746477304
10563-13,LYSMD3.10563.13.3,LYSMD3.10563.13.3,PASS,PASS,Human,3.9574466708141,4.81253774266775
10565-19,SLITRK3.10565.19.3,SLITRK3.10565.19.3,PASS,PASS,Human,4.30999274910161,10.3442432302997
10571-14,MGAT1.10571.14.3,MGAT1.10571.14.3,PASS,PASS,Human,5.71554014311146,6.18534775183826
10572-65,CST8.10572.65.3,CST8.10572.65.3,PASS,PASS,Human,5.84360771852715,7.37706045481423
10575-31,PUF60.10575.31.3,PUF60.10575.31.3,PASS,PASS,Human,5.69438312042833,3.92228800303286
10584-7,NDUFS4.10584.7.3,NDUFS4.10584.7.3,PASS,PASS,Human,7.36228913265707,15.3204268735394
10605-22,APMAP.10605.22.3,APMAP.10605.22.3,PASS,PASS,Human,8.65887505423897,10.1004674417731
10608-9,HTN1.10608.9.3,HTN1.10608.9.3,PASS,PASS,Human,2.62855195569233,2.41885880160312
10610-8,DEFB134.10610.8.3,DEFB134.10610.8.3,PASS,PASS,Human,5.00603562992674,4.82603423356381
10612-18,PLOD3.10612.18.3,PLOD3.10612.18.3,PASS,PASS,Human,3.22138459263427,5.39762146202911
10613-33,CASC4.10613.33.3,CASC4.10613.33.3,PASS,PASS,Human,6.35140299948846,9.1265521970067
10615-18,MPZ.10615.18.3,MPZ.10615.18.3,PASS,PASS,Human,4.43310763920156,10.0484503421544
10620-21,MSMB.10620.21.3,MSMB.10620.21.3,PASS,PASS,Human,8.65636040520452,9.82557081653174
10621-26,PRR16.10621.26.3,PRR16.10621.26.3,PASS,PASS,Human,4.40332478923402,5.97982580912441
10624-45,SPINK13.10624.45.3,SPINK13.10624.45.3,PASS,PASS,Human,5.34725755778832,6.47710249831853
10626-116,ST6GALNAC3.10626.116.3,ST6GALNAC3.10626.116.3,PASS,PASS,Human,4.55693042740953,6.59672207262982
10627-87,APLP2.10627.87.3,APLP2.10627.87.3,PASS,PASS,Human,4.83142917058056,6.13868582830604
10630-5,HTATIP2.10630.5.3,HTATIP2.10630.5.3,PASS,PASS,Human,4.99687364830462,4.8780647839244
10631-9,PGRMC2.10631.9.3,PGRMC2.10631.9.3,PASS,PASS,Human,6.79871980668945,6.26271063147941
10637-50,KIAA1324.10637.50.3,KIAA1324.10637.50.3,PASS,PASS,Human,9.18832604305737,16.589392500705
10639-1,HLA.DMA.10639.1.3,HLA.DMA.10639.1.3,PASS,PASS,Human,3.54291151611585,3.19391230254539
10640-9,TOR1AIP2.10640.9.3,TOR1AIP2.10640.9.3,PASS,PASS,Human,6.47445557020409,8.24809412043815
10645-72,RCN2.10645.72.3,RCN2.10645.72.3,PASS,PASS,Human,10.2035677838121,10.6430333599173
10647-18,ASCC1.10647.18.3,ASCC1.10647.18.3,PASS,PASS,Human,6.19016308734983,4.30612563479246
10658-28,SEC11C.10658.28.3,SEC11C.10658.28.3,PASS,PASS,Human,9.6090673024597,6.06077579049427
10659-49,MUC4.10659.49.3,MUC4.10659.49.3,PASS,PASS,Human,4.12274457201381,10.0116777841952
10660-33,SLC35B3.10660.33.3,SLC35B3.10660.33.3,PASS,PASS,Human,4.54618221151281,12.303310394313
10661-4,TMEM41B.10661.4.3,TMEM41B.10661.4.3,PASS,PASS,Human,5.00504300099237,8.58194720968564
10663-42,INSIG1.10663.42.3,INSIG1.10663.42.3,PASS,PASS,Human,4.85992543072443,4.73142049767494
10665-30,HBG1.10665.30.3,HBG1.10665.30.3,PASS,PASS,Human,8.13639274666608,8.65424842022447
10666-7,GNPTG.10666.7.3,GNPTG.10666.7.3,PASS,PASS,Human,5.31184531474767,5.69519103886912
10667-78,C1orf185.10667.78.3,C1orf185.10667.78.3,PASS,PASS,Human,3.61212598139359,10.9393249044672
10671-67,CALY.10671.67.3,CALY.10671.67.3,PASS,PASS,Human,7.75629124511551,7.70231468879187
10677-9,NDUFB4.10677.9.3,NDUFB4.10677.9.3,PASS,PASS,Human,16.1968521945986,17.5098716717727
10689-5,DEFB119.10689.5.3,DEFB119.10689.5.3,PASS,PASS,Human,5.65449620132134,11.3031184964549
10692-48,DYNAP.10692.48.3,DYNAP.10692.48.3,PASS,PASS,Human,9.78776198501861,10.6812513926614
10699-52,LRP1.10699.52.3,LRP1.10699.52.3,PASS,PASS,Human,4.34092470391902,1.97312309553555
10700-10,IGSF11.10700.10.3,IGSF11.10700.10.3,PASS,PASS,Human,3.54089361711098,5.75742409440534
10701-30,CDH12.10701.30.3,CDH12.10701.30.3,PASS,PASS,Human,5.01006465859394,5.32054714327676
10702-1,COL28A1.10702.1.3,COL28A1.10702.1.3,PASS,PASS,Human,3.77056166535806,5.49999483885255
10704-91,LRMP.10704.91.3,LRMP.10704.91.3,PASS,PASS,Human,4.82157947853764,6.4895776302969
10705-14,ST6GALNAC3.10705.14.3,ST6GALNAC3.10705.14.3,PASS,PASS,Human,5.42794808733922,6.40975434922098
10708-3,GNRH2.10708.3.3,GNRH2.10708.3.3,PASS,PASS,Human,5.07992411966635,4.9285133447427
10713-151,CD300LB.10713.151.3,CD300LB.10713.151.3,PASS,PASS,Human,4.31789268641641,6.41681827342395
10716-35,PSMD5.10716.35.3,PSMD5.10716.35.3,PASS,PASS,Human,4.2211041533146,3.31630420438676
10723-41,WDR1.10723.41.3,WDR1.10723.41.3,PASS,PASS,Human,6.02512156105979,5.65334040674378
10748-216,PCDHB2.10748.216.3,PCDHB2.10748.216.3,PASS,PASS,Human,10.4909307772433,6.4167737055353
10760-107,GRIA4.10760.107.3,GRIA4.10760.107.3,PASS,PASS,Human,7.35699256885235,5.54939457868259
10761-5,TMED2.10761.5.3,TMED2.10761.5.3,PASS,PASS,Human,3.11419337062472,5.03092337820456
10772-21,CSGALNACT2.10772.21.3,CSGALNACT2.10772.21.3,PASS,PASS,Human,9.62667470674581,5.89407911922964
10798-4,CD300E.10798.4.3,CD300E.10798.4.3,PASS,PASS,Human,3.73545592541462,4.01867905180657
10827-67,LINGO3.10827.67.3,LINGO3.10827.67.3,PASS,PASS,Human,4.79007763971344,13.9876887712534
10830-5,EFCAB14.10830.5.3,EFCAB14.10830.5.3,PASS,PASS,Human,4.06934245653463,4.63952858463365
10832-24,B4GALT6.10832.24.3,B4GALT6.10832.24.3,PASS,PASS,Human,5.06943547730441,8.29413933479362
10842-7,GCNT4.10842.7.3,GCNT4.10842.7.3,PASS,PASS,Human,5.38467962537225,6.39284893659294
10852-114,HNRNPDL.10852.114.3,HNRNPDL.10852.114.3,PASS,PASS,Human,9.06913404373688,11.9626252289738
10854-15,GCNT4.10854.15.3,GCNT4.10854.15.3,PASS,PASS,Human,6.52318047475571,7.55565284688982
10872-103,SCARA3.10872.103.3,SCARA3.10872.103.3,PASS,PASS,Human,4.03721865740985,4.69095067927536
10880-38,FAM163B.10880.38.3,FAM163B.10880.38.3,PASS,PASS,Human,6.46456621404745,3.20562609518641
10885-36,C6orf89.10885.36.3,C6orf89.10885.36.3,PASS,PASS,Human,6.62581451756033,5.44018650945668
10888-4,GALNT7.10888.4.3,GALNT7.10888.4.3,PASS,PASS,Human,5.29860094870885,3.07194454444267
10889-2,MRAP2.10889.2.3,MRAP2.10889.2.3,PASS,PASS,Human,4.74340574060386,4.89833408618417
10890-135,LCTL.10890.135.3,LCTL.10890.135.3,PASS,PASS,Human,5.69467525118859,6.15828538126489
10892-8,OSMR.10892.8.3,OSMR.10892.8.3,PASS,PASS,Human,5.39392598612244,4.70939983692662
10894-25,SCGN.10894.25.3,SCGN.10894.25.3,PASS,PASS,Human,11.0099965224986,7.31683988443415
10895-28,TMPRSS11B.10895.28.3,TMPRSS11B.10895.28.3,PASS,PASS,Human,4.06605938066709,2.89890962349822
10900-272,STMN2.10900.272.3,STMN2.10900.272.3,PASS,PASS,Human,4.65849678354415,5.63718847654397
10903-50,STX8.10903.50.3,STX8.10903.50.3,PASS,PASS,Human,4.86415406179507,7.60566775024574
10910-6,CEACAM4.10910.6.3,CEACAM4.10910.6.3,PASS,PASS,Human,9.97748382984849,5.97006272542512
10914-4,CHIC2.10914.4.3,CHIC2.10914.4.3,PASS,PASS,Human,6.43491768513774,6.09084374556489
10916-44,PLA2R1.10916.44.3,PLA2R1.10916.44.3,PASS,PASS,Human,11.2195800775444,16.8841442711979
10917-40,GNGT2.10917.40.3,GNGT2.10917.40.3,PASS,PASS,Human,4.81724517880835,8.2518683679211
10928-7,IL36A.10928.7.3,IL36A.10928.7.3,PASS,PASS,Human,10.707532902189,9.67565218867537
10933-107,CALN1.10933.107.3,CALN1.10933.107.3,PASS,PASS,Human,5.87727409083356,6.134172044738
10938-13,CD58.10938.13.3,CD58.10938.13.3,PASS,PASS,Human,5.39873464505563,6.28842016291085
10943-36,WBP1.10943.36.3,WBP1.10943.36.3,PASS,PASS,Human,4.34932979464047,5.30435805280862
10945-11,STX6.10945.11.3,STX6.10945.11.3,PASS,PASS,Human,7.66590839481032,7.78566249894339
10948-14,PLD3.10948.14.3,PLD3.10948.14.3,PASS,PASS,Human,4.68440875485073,7.42379979806479
10949-59,RPLP2.10949.59.3,RPLP2.10949.59.3,PASS,PASS,Human,4.37703287415639,7.09447159695213
10953-14,CLEC2A.10953.14.3,CLEC2A.10953.14.3,PASS,PASS,Human,4.20752435913728,3.5381902557417
10955-4,CLEC10A.10955.4.3,CLEC10A.10955.4.3,PASS,PASS,Human,4.19028616433478,5.45782314013585
10959-125,BET1L.10959.125.3,BET1L.10959.125.3,PASS,PASS,Human,5.46407285295737,15.9591667867034
10961-15,RARRES3.10961.15.3,RARRES3.10961.15.3,PASS,PASS,Human,4.63725437194138,2.68837342966128
10962-46,DEFB105A.10962.46.3,DEFB105A.10962.46.3,PASS,PASS,Human,6.46590042507881,8.48319707867267
10970-3,ART3.10970.3.3,ART3.10970.3.3,PASS,PASS,Human,3.24492627110535,6.63591889281832
10977-55,UCMA.10977.55.3,UCMA.10977.55.3,PASS,PASS,Human,8.11269999980785,8.65029241453651
10990-21,LRRK2.10990.21.3,LRRK2.10990.21.3,PASS,PASS,Human,7.57233763667513,8.87351976460612
11067-13,BGLAP.11067.13.3,BGLAP.11067.13.3,PASS,PASS,Human,3.92946280097826,3.98824380003374
11071-1,IL5.11071.1.3,IL5.11071.1.3,PASS,PASS,Human,4.04765944054221,5.06569226087888
11083-23,ENO2.11083.23.3,ENO2.11083.23.3,PASS,PASS,Human,5.55602321579199,5.9480287883748
11094-104,CLC.11094.104.3,CLC.11094.104.3,PASS,PASS,Human,5.13390934501151,5.16745303755724
11096-57,N6AMT1.11096.57.3,N6AMT1.11096.57.3,PASS,PASS,Human,9.11053909033576,4.60017736699031
11098-1,PDXK.11098.1.3,PDXK.11098.1.3,PASS,PASS,Human,7.532344412068,12.7495414693577
11101-18,TLR4.11101.18.3,TLR4.11101.18.3,PASS,PASS,Human,5.36484423651382,6.86587195459537
11102-22,REG4.11102.22.3,REG4.11102.22.3,PASS,PASS,Human,4.87103658926014,5.50209421820341
11104-13,CHI3L1.11104.13.3,CHI3L1.11104.13.3,PASS,PASS,Human,3.10958372938872,8.7864498336123
11107-25,TENM3.11107.25.3,TENM3.11107.25.3,PASS,PASS,Human,4.40051337842702,12.7503552610259
11108-16,FLNA.11108.16.3,FLNA.11108.16.3,PASS,PASS,Human,5.08177672214595,4.03658704417141
11109-56,SVEP1.11109.56.3,SVEP1.11109.56.3,PASS,PASS,Human,7.14429431086331,8.22777775236614
11110-4,TMEM119.11110.4.3,TMEM119.11110.4.3,PASS,PASS,Human,3.8402300188928,3.62406507171674
11112-18,TMEM167A.11112.18.3,TMEM167A.11112.18.3,PASS,PASS,Human,3.4489321679014,17.4466920341853
11117-2,SPATA20.11117.2.3,SPATA20.11117.2.3,PASS,PASS,Human,5.99906409484932,6.22217551099564
11120-49,NAT14.11120.49.3,NAT14.11120.49.3,PASS,PASS,Human,5.90113280607125,8.44521876129533
11121-56,VWC2.11121.56.3,VWC2.11121.56.3,PASS,PASS,Human,3.20357950055828,11.4656286902117
11122-97,SPG21.11122.97.3,SPG21.11122.97.3,PASS,PASS,Human,5.00882132578551,11.3841199730273
11124-9,FLNA.11124.9.3,FLNA.11124.9.3,PASS,PASS,Human,8.49597603675828,10.5376622427214
11128-29,TMEM132C.11128.29.3,TMEM132C.11128.29.3,PASS,PASS,Human,3.65360033018748,4.48293046230164
11134-30,MTRF1L.11134.30.3,MTRF1L.11134.30.3,PASS,PASS,Human,5.80623858125509,8.03968306640811
11137-43,CSF2RB.11137.43.3,CSF2RB.11137.43.3,PASS,PASS,Human,4.55619134195903,3.68098214507397
11138-16,RUNX3.11138.16.3,RUNX3.11138.16.3,PASS,PASS,Human,4.55855522725802,5.33351633897219
11139-4,TREML4.11139.4.3,TREML4.11139.4.3,PASS,PASS,Human,4.59761861933775,4.96101722016737
11140-56,COL1A1.11140.56.3,COL1A1.11140.56.3,PASS,PASS,Human,4.61684889099353,3.67658299093705
11142-11,ANGPTL1.11142.11.3,ANGPTL1.11142.11.3,PASS,PASS,Human,3.09871086362634,4.44095148377257
11144-10,DEFB116.11144.10.3,DEFB116.11144.10.3,PASS,PASS,Human,3.35946890300784,6.27943628460363
11146-4,TBX22.11146.4.3,TBX22.11146.4.3,PASS,PASS,Human,4.22869905527339,2.39025053382611
11149-3,TLR1.11149.3.3,TLR1.11149.3.3,PASS,PASS,Human,4.61689083104182,5.37748453478293
11150-3,COL6A1.11150.3.3,COL6A1.11150.3.3,PASS,PASS,Human,7.16007937612141,9.50898972312515
11154-3,NFE2L1.11154.3.3,NFE2L1.11154.3.3,PASS,PASS,Human,6.65158886865608,6.33019691711438
11155-16,COL6A5.11155.16.3,COL6A5.11155.16.3,PASS,PASS,Human,4.18671307032148,19.7473547926639
11159-14,MUL1.11159.14.3,MUL1.11159.14.3,PASS,PASS,Human,8.44578423127187,8.7214057458106
11160-56,RNF122.11160.56.3,RNF122.11160.56.3,PASS,PASS,Human,6.11860474469733,6.69438340680753
11167-6,MTMR1.11167.6.3,MTMR1.11167.6.3,PASS,PASS,Human,6.62704896409678,4.18241160987635
11168-3,MEGF10.11168.3.3,MEGF10.11168.3.3,PASS,PASS,Human,6.47450594960988,7.37462261867016
11170-9,FLNA.11170.9.3,FLNA.11170.9.3,PASS,PASS,Human,4.30763874102189,5.19832720615202
11173-29,MILR1.11173.29.3,MILR1.11173.29.3,PASS,PASS,Human,4.0894802526406,5.4481302020051
11174-8,THSD7A.11174.8.3,THSD7A.11174.8.3,PASS,PASS,Human,5.14274255284774,6.35225734954899
11175-45,LPCAT2.11175.45.3,LPCAT2.11175.45.3,PASS,PASS,Human,9.51320337046881,4.04949627661787
11177-16,KRT5.11177.16.3,KRT5.11177.16.3,PASS,PASS,Human,5.09458977287518,9.91976715063215
11178-21,SVEP1.11178.21.3,SVEP1.11178.21.3,PASS,PASS,Human,3.60300466084077,6.36438918633272
11185-145,GCH1.11185.145.3,GCH1.11185.145.3,PASS,PASS,Human,4.52115455678129,3.4492534299234
11186-12,TMEM52.11186.12.3,TMEM52.11186.12.3,PASS,PASS,Human,8.16359133225853,7.20903090615971
11187-11,CLEC12A.11187.11.3,CLEC12A.11187.11.3,PASS,PASS,Human,4.01480552996142,5.13312205466272
11192-168,TINAGL1.11192.168.3,TINAGL1.11192.168.3,PASS,PASS,Human,4.01393472142209,5.99465084380037
11193-27,HNF1A.11193.27.3,HNF1A.11193.27.3,PASS,PASS,Human,4.095422883781,3.61026783769879
11194-6,SIT1.11194.6.3,SIT1.11194.6.3,PASS,PASS,Human,4.31047012529874,11.3446718604681
11196-31,COL6A3.11196.31.3,COL6A3.11196.31.3,PASS,PASS,Human,2.73713259778112,7.05040486503245
11198-37,CREB3L1.11198.37.3,CREB3L1.11198.37.3,PASS,PASS,Human,4.46695695294996,5.26349650434752
11200-52,CD93.11200.52.3,CD93.11200.52.3,PASS,PASS,Human,3.44530053294535,4.95286644250859
11201-19,PUS1.11201.19.3,PUS1.11201.19.3,PASS,PASS,Human,6.54088380616726,12.232037100447
11202-70,TBX5.11202.70.3,TBX5.11202.70.3,PASS,PASS,Human,4.3193363290107,5.92816124350188
11203-97,PKLR.11203.97.3,PKLR.11203.97.3,PASS,PASS,Human,9.78424386745316,10.3954473676626
11204-80,CXADR.11204.80.3,CXADR.11204.80.3,PASS,PASS,Human,6.45298214442603,3.6150718146648
11205-10,ITGB7.11205.10.3,ITGB7.11205.10.3,PASS,PASS,Human,5.9717664586974,1.55770713659088
11207-3,MSR1.11207.3.3,MSR1.11207.3.3,PASS,PASS,Human,4.11721963131908,4.49556655333954
11208-15,NAGPA.11208.15.3,NAGPA.11208.15.3,PASS,PASS,Human,3.72489776059835,5.13713470261128
11211-7,TBCE.11211.7.3,TBCE.11211.7.3,PASS,PASS,Human,15.9916774939642,13.8364929821903
